Filename,Original Size (bytes),DCT Size (bytes),Lapped Size (bytes),DCT Compression Ratio,Lapped Compression Ratio
7.png,566322,177153,216321,3.1967959899070295,2.617970516038665
3.png,502888,179540,200815,2.8009802829453045,2.5042352413913305
4.png,637432,220141,234133,2.895562389559419,2.7225209603088842
6.png,618959,181689,239507,3.4066949567667826,2.584304425340387
9.png,582899,117524,222787,4.959829481637793,2.616395929744554
5.png,785610,291705,288386,2.693166041034607,2.724161367056653
2.png,617995,261397,221222,2.3642008133222645,2.7935512742855595
10.png,593463,174171,228518,3.4073582858225535,2.5970076755441585
1.png,736501,235530,288012,3.1269944380758288,2.557188589364332
8.png,788470,241369,307807,3.2666581043961735,2.561572673785846
