Filename,Original Size (bytes),DCT Size (bytes),LT Size (bytes),DCT Comp Ratio %,Lapped Comp Ratio %
7.png,566322,177153,216321,68.71867947916556,61.802472798160764
3.png,502888,179540,200815,64.2982135187159,60.06764925788645
4.png,637432,220141,234133,65.46439463346678,63.269336964570336
6.png,618959,181689,239507,70.64603632873906,61.30486833538247
9.png,582899,117524,222787,79.8380165345969,61.77948495365406
5.png,785610,291705,288386,62.86898079199603,63.29145504766996
2.png,617995,261397,221222,57.7024085955388,64.20327025299557
10.png,593463,174171,228518,70.65175082524101,61.49414538058817
1.png,736501,235530,288012,68.02041001980989,60.89455411465836
8.png,788470,241369,307807,69.38767486397707,60.9614823645795
