Filename,Original Size (bytes),DCT Size (bytes),Lapped Size (bytes),DCT Compression Ratio,Lapped Compression Ratio
3.tif,360678,302060,342816,1.1940607826259684,1.052103752450294
5.tif,286740,175354,202878,1.6352064965726474,1.41336172478041
9.tif,765450,267352,472874,2.8630793859780366,1.6187187284562061
8.tif,356976,174060,240098,2.050879007238883,1.486792892902065
1.tif,54968,12648,26068,4.345983554712207,2.1086389442995244
2.tif,1286,1860,1930,0.6913978494623656,0.666321243523316
4.tif,89148,5892,9824,15.130346232179226,9.074511400651465
7.tif,1049286,43038,43038,24.3804544820856,24.3804544820856
6.tif,430068,128678,227610,3.3422030183869813,1.8894951891393172
10.tif,360678,314220,340262,1.1478518235631086,1.0600008228952984
